title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Update papers.md",71,open,2020-11-07T00:23:38Z,biancatrink,1,1,1,1,Null,"Including one more paper: Diversity and inclusion in open source software (OSS) projects: Where do we stand?"
"Update papers.md",70,closed,2020-10-23T20:10:57Z,biancatrink,1,1,0,1,2020-10-23T20:36:13Z,"Including one paper - Characterizing women (not) contributing to open-source"
"Update papers.md",69,closed,2020-10-06T18:23:23Z,biancatrink,1,2,0,1,2020-10-09T22:13:01Z,"Including one paper about OTC - One Time Contributors"
"Update papers.md",68,closed,2020-09-24T16:51:49Z,biancatrink,2,2,2,1,2020-10-09T22:31:11Z,"Including one paper about turnover and why people leave OSS."
"Added Ian to group 8",67,closed,2020-08-24T14:16:40Z,xlilos,1,2,2,1,2020-08-24T14:43:00Z,"Also removed the temp added student from group 5"
"Batai Finley's Group Choice",66,closed,2020-08-23T21:26:44Z,B-Finley,1,6,0,1,2020-08-24T04:06:12Z,None
"Update groups.md",65,closed,2020-08-21T22:16:57Z,lochem2-718,2,6,0,1,2020-08-24T04:05:46Z,"Made Group 7 from the people in breakout room 9"
"Update Groups Attempt 3",64,closed,2020-08-21T15:19:33Z,DanielRustrum,1,6,0,1,2020-08-24T04:04:15Z,"I have no clue if this is working"
"Update groups.md",63,closed,2020-08-21T15:14:43Z,Naz2020,1,1,1,1,2020-08-21T15:17:27Z,None
"Update groups.md",62,closed,2020-08-21T15:14:36Z,HanyueW-9,1,1,1,1,2020-08-21T15:17:14Z,None
"Update groups.md",61,closed,2020-08-21T15:11:43Z,Naz2020,1,1,1,1,2020-08-21T15:13:33Z,None
"Update groups.md",60,closed,2020-08-21T15:00:43Z,Naz2020,1,2,2,1,2020-08-21T15:08:52Z,"adding new members to G5"
"Update groups.md",59,closed,2020-08-21T03:40:55Z,ziang-zhou,1,6,0,1,2020-08-21T15:04:54Z,None
"Update groups.md",58,closed,2020-08-20T07:00:46Z,saurabhkakade21,1,1,1,1,2020-08-21T15:04:17Z,None
"Update groups.md",57,closed,2020-08-19T21:52:49Z,mpeiffer,1,1,1,1,2020-08-19T22:23:42Z,None
"Adding group members to group 10",56,closed,2020-08-19T15:47:55Z,IBermudes,1,6,0,1,2020-08-19T15:58:43Z,None
"Add Liam Scholl to Group 2",55,closed,2020-08-19T15:35:15Z,las589,1,1,1,1,2020-08-19T15:57:52Z,None
"Keil Hubbard Joining Group 1",54,closed,2020-08-19T15:23:21Z,khubbard-NAU,2,1,1,1,2020-08-19T15:57:18Z,None
"Update groups.md",53,closed,2020-08-19T15:22:07Z,antonfreeman,1,1,1,1,2020-08-19T15:56:24Z,None
"Update groups.md",52,closed,2020-08-19T15:03:49Z,bmvisoky,1,2,1,1,2020-08-19T15:13:10Z,"Kainoa dropped the course"
"Update groups.md",51,closed,2020-08-13T21:11:53Z,niceboy47,1,1,1,1,2020-08-13T21:15:41Z,"Adding my name \"Tyler Riese\" to group 2"
"Update groups.md",50,closed,2020-08-12T20:45:46Z,CodeBerrie,1,6,0,1,2020-08-13T23:57:33Z,None
"Update groups.md",49,closed,2020-08-12T16:55:15Z,SubArtic15,1,1,1,1,2020-08-12T18:17:17Z,"Added my last name to group"
"Update groups.md",48,closed,2020-08-12T16:44:14Z,zhicenliu,1,6,0,1,2020-08-12T18:17:02Z,None
"Update groups.md",47,closed,2020-08-12T15:58:16Z,bmvisoky,2,11,2,1,2020-08-12T16:22:58Z,None
"Update groups.md",46,closed,2020-08-12T15:48:39Z,mexiquin,1,1,1,1,2020-08-12T16:21:54Z,"added student Quinton Jasper to a new group"
"title",45,closed,2020-07-07T21:54:00Z,zachspiel,1,1,1,1,2020-07-20T06:44:04Z,"description"
"testing profile",44,closed,2019-11-14T19:43:32Z,igorwiese,1,2,0,1,2019-11-14T19:45:16Z,"."
"Update README.md",43,closed,2019-06-11T15:03:21Z,igorsteinmacher,1,1,1,1,2019-06-23T16:24:30Z,None
"Updating final report description",42,closed,2018-12-06T05:51:23Z,tanman987,1,1,1,1,2018-12-06T14:18:12Z,"there was an unneeded space between the a and the nd (a nd) --> and"
